	Stk_601899	Stk_601857	Stk_601766	Stk_601699	Stk_601628	Stk_601601	Stk_601398	Stk_601328	Stk_601169	Stk_601166	Stk_601088	Stk_601006	Stk_600887	Stk_600837	Stk_600585	Stk_600549	Stk_600519	Stk_600518	Stk_600489	Stk_600383	Stk_600362	Stk_600256	Stk_600111	Stk_600050	Stk_600048	Stk_600036	Stk_600031	Stk_600030	Stk_600028	Stk_600018	Stk_600016	Stk_600015	Stk_600000
2009/3/30	11.110467	11.730113	4.43	42.39776	22.497991	15.49308	4.04132	6.509394	12.028936	23.285829	20.600857	9.327096	123.765819	255.923375	42.475432	98.490926	532.595818	116.068198	78.878229	54.673343	31.790755	90.301307	80.543454	8.098043	87.751588	39.14456	202.716228	71.565257	13.35063	6.079252	55.167777	18.359067	63.86171
2009/3/31	10.989152	11.648442	4.4	44.687056	23.446455	17.047468	4.051603	6.664873	11.998662	23.408065	20.781566	9.285458	125.809846	266.319081	41.737764	100.131253	535.771034	118.529975	80.313363	56.640755	31.329627	91.491956	78.401788	8.226357	89.500114	38.973302	204.281604	73.174111	13.246445	6.017742	55.059392	18.691278	63.629486
2009/4/1	11.110467	11.791367	4.58	49.155762	23.568838	16.793483	4.082453	6.727065	12.099575	23.326574	21.986294	9.774714	125.912047	268.209209	41.523602	101.557624	542.868576	118.07409	80.069661	57.935105	32.129821	91.8679505	79.661592	8.169329	91.411293	39.609401	212.108486	73.576324	13.35063	6.027993	55.492931	18.533915	63.310177
2009/4/2	10.948713	11.811785	4.54	51.298543	24.231743	17.443684	4.103019	6.861813	12.392226	24.090545	22.22724	9.764304	125.809846	266.319081	42.570615	101.201032	550.993394	121.447636	80.069661	58.711715	32.292572	92.243945	78.527768	8.055272	93.281809	40.392293	216.717649	74.581858	13.4697	6.243279	57.010316	18.411521	63.455318
2009/4/3	10.473561	11.821994	4.49	51.683145	23.97678	17.362409	4.185285	7.141676	12.745424	24.599859	21.996334	9.639388	121.006383	262.538824	41.797253	98.847519	544.316101	121.447636	75.696563	59.022359	31.004124	87.732013	80.417474	7.969729	93.932423	41.273045	212.369382	73.863619	13.4697	5.997238	61.237316	19.233308	64.645468
2009/4/7	10.625206	11.903666	4.54	52.910207	24.211346	17.616394	4.226418	7.131311	12.594053	24.161849	23.170944	9.868401	120.188772	260.837709	40.91681	100.915757	550.993394	123.635881	75.574712	57.883331	32.835076	89.925313	81.047376	8.126557	91.655273	40.685877	213.065105	72.829356	13.63342	5.94598	61.454086	19.128399	63.542402
2009/4/8	10.25115	11.454471	4.41	52.324147	23.089506	16.874758	4.082453	6.778891	11.998662	22.888564	21.916019	10.003727	116.305121	240.424323	40.571771	99.061475	546.604125	119.350567	75.642407	53.844959	30.963436	91.554622	79.325644	7.755872	87.466945	38.386134	202.455332	69.266895	13.067841	5.607674	59.828316	18.096794	60.784737
2009/4/9	10.362356	11.525934	4.41	51.866288	24.058368	17.768785	4.113302	6.820352	12.190398	23.275643	21.89594	10.347248	117.327135	247.417798	41.285644	102.912677	550.106202	122.268228	74.599904	56.019467	31.70938	93.935919	78.443781	7.784387	89.581441	38.850975	201.759609	70.243699	13.18691	5.669184	60.15347	18.306612	63.948795
2009/4/10	10.908275	11.719904	4.5	56.957682	24.88445	18.459624	4.185285	7.120945	12.472957	23.591418	22.89988	10.430525	119.98437	261.404747	42.249373	106.763879	557.670687	123.476322	77.63264	58.245749	34.88303	96.003888	81.551297	7.912701	92.509205	39.487075	209.760421	73.375217	13.380398	5.771701	61.128932	18.533915	64.500327
2009/4/13	10.837508	12.189517	4.57	61.627846	25.843113	19.170782	4.236701	7.100215	12.513322	23.44881	25.188864	10.649129	123.765819	265.752042	44.153033	106.906516	569.951303	127.100604	78.350208	57.935105	36.38848	97.633197	84.61682	8.098043	92.875175	40.049778	216.195857	74.696776	14.094813	5.935728	61.887624	19.006005	65.400197
2009/4/14	10.867836	12.138472	4.61	59.979553	25.894106	19.414607	4.257268	7.172772	12.745424	23.428437	25.359534	10.451345	124.481228	266.697106	44.736029	105.266189	562.713678	135.944763	79.595796	60.989771	35.954476	97.319869	83.65097	8.083786	95.558959	39.976382	226.022942	76.966409	14.258533	5.843463	61.887624	19.600489	66.009786
