time,close
4/25/2012,11.72
4/26/2012,11.85
4/27/2012,11.37
5/2/2012,11.62
5/3/2012,11.74
5/4/2012,11.76
5/7/2012,11.64
5/8/2012,12.19
5/9/2012,12.27
5/10/2012,11.96
5/11/2012,11.7
5/14/2012,11.57
5/15/2012,11.66
5/16/2012,11.14
5/17/2012,11.3
5/18/2012,11.22
5/21/2012,11.43
5/22/2012,11.47
5/23/2012,11.82
5/24/2012,12.29
5/25/2012,11.79
5/28/2012,11.49
5/29/2012,11.63
5/30/2012,11.56
5/31/2012,11.65
6/1/2012,11.52
6/4/2012,11.14
6/5/2012,11.17
6/6/2012,11.2
6/7/2012,11.22
6/8/2012,11.18
6/11/2012,11.29
6/12/2012,11.21
6/13/2012,11.45
6/14/2012,11.51
6/15/2012,11.26
6/18/2012,11.33
6/19/2012,11.76
6/20/2012,11.76
6/21/2012,11.92
6/25/2012,11.92
6/26/2012,10.73
6/27/2012,10.08
6/28/2012,10.02
6/29/2012,10.07
7/2/2012,10.09
7/3/2012,10.04
7/4/2012,10.07
7/5/2012,9.37
7/6/2012,9.58
7/9/2012,9.01
7/10/2012,8.99
7/11/2012,9.07
7/12/2012,9.26
7/13/2012,9.19
7/16/2012,8.81
7/17/2012,8.92
7/18/2012,8.95
7/19/2012,9.26
7/20/2012,9.34
7/23/2012,9.09
7/24/2012,9.08
7/25/2012,9.02
7/26/2012,8.92
7/27/2012,9.02
7/30/2012,8.82
7/31/2012,8.41
8/1/2012,8.52
8/2/2012,8.55
8/3/2012,8.8
8/6/2012,9.12
8/7/2012,9.12
8/8/2012,9.12
8/9/2012,9.24
8/10/2012,9.24
8/13/2012,8.95
8/14/2012,9.35
8/15/2012,9.13
8/16/2012,9.06
8/17/2012,8.84
8/20/2012,8.82
8/21/2012,9.11
8/22/2012,9.07
8/23/2012,9.08
8/24/2012,8.72
8/27/2012,8.55
8/28/2012,8.65
8/29/2012,8.65
8/30/2012,8.65
8/31/2012,8.6
9/3/2012,8.72
9/4/2012,8.79
9/5/2012,8.79
9/6/2012,8.79
9/7/2012,8.79
9/10/2012,8.79
9/11/2012,8.79
9/12/2012,8.79
9/13/2012,9.67
9/14/2012,10.28
9/17/2012,9.5
9/18/2012,9.36
9/19/2012,9.52
9/20/2012,9.03
9/21/2012,8.78
9/24/2012,8.83
9/25/2012,8.7
9/26/2012,8.83
9/27/2012,8.94
9/28/2012,9.19
10/8/2012,9.07
10/9/2012,9.31
10/10/2012,9.38
10/11/2012,9.09
10/12/2012,8.86
10/15/2012,8.69
10/16/2012,8.69
10/17/2012,8.69
10/18/2012,8.88
10/19/2012,8.93
10/22/2012,8.9
10/23/2012,8.83
10/24/2012,8.73
10/25/2012,8.79
10/26/2012,8.39
10/29/2012,8.37
10/30/2012,8.31
10/31/2012,8.19
11/1/2012,8.3
11/2/2012,8.43
11/5/2012,8.41
11/6/2012,8.28
11/7/2012,8.28
11/8/2012,8.08
11/9/2012,8.01
11/12/2012,8.11
11/13/2012,8.03
11/14/2012,7.92
11/15/2012,7.66
11/16/2012,7.61
11/19/2012,7.72
11/20/2012,7.65
11/21/2012,7.75
11/22/2012,7.69
11/23/2012,7.77
11/26/2012,7.58
11/27/2012,7.28
11/28/2012,7.05
11/29/2012,6.99
11/30/2012,7.04
12/3/2012,6.85
12/4/2012,6.97
12/5/2012,7.24
12/6/2012,7.25
12/7/2012,7.46
12/10/2012,7.54
12/11/2012,7.52
12/12/2012,7.52
12/13/2012,7.3
12/14/2012,7.6
12/17/2012,7.74
12/18/2012,7.75
12/19/2012,7.84
12/20/2012,7.74
12/21/2012,7.66
12/24/2012,7.68
12/25/2012,7.84
12/26/2012,7.95
12/27/2012,8.05
12/28/2012,8.1
12/31/2012,8.13
1/4/2013,8
1/7/2013,8.08
1/8/2013,8.23
1/9/2013,8.28
1/10/2013,8.6
1/11/2013,8.36
1/14/2013,8.49
1/15/2013,8.68
1/16/2013,8.76
1/17/2013,8.46
1/18/2013,8.61
1/21/2013,8.75
1/22/2013,8.74
1/23/2013,9.1
1/24/2013,8.9
1/25/2013,9.01
1/28/2013,9.3
1/29/2013,10.23
1/30/2013,9.97
1/31/2013,10
2/1/2013,9.81
2/4/2013,9.58
2/5/2013,9.51
2/6/2013,9.43
2/7/2013,9.49
2/8/2013,9.75
2/18/2013,9.82
2/19/2013,9.46
2/20/2013,9.94
2/21/2013,9.96
2/22/2013,10.02
2/25/2013,10.07
2/26/2013,9.71
2/27/2013,9.61
2/28/2013,9.92
3/1/2013,10.1
3/4/2013,11.11
